id,groudTruthContext,retrievedContext,questionId,question,answer
63,"Here are the SEC requirements: The federal securities laws define the term accredited investor in   Rule 501 of Regulation D as: a bank, insurance company, registered investment company, business development company, or small business investment company; an employee benefit plan, within the meaning of the Employee Retirement Income Security Act, if a bank, insurance company, or   registered investment adviser makes the investment decisions, or if   the plan has total assets in excess of $5 million; a charitable organization, corporation, or partnership with assets exceeding $5 million; a director, executive officer, or general partner of the company selling the securities; a business in which all the equity owners are accredited investors; a natural person who has individual net worth, or joint net worth with the person’s spouse, that exceeds $1 million at the time of the   purchase, excluding the value of the primary residence of such person; a natural person with income exceeding $200,000 in each of the two most recent years or joint income with a spouse exceeding $300,000 for   those years and a reasonable expectation of the same income level in   the current year; or a trust with assets in excess of $5 million, not formed to acquire the securities offered, whose purchases a sophisticated person makes. No citizenship/residency requirements.","Here are the SEC requirements: The federal securities laws define the term accredited investor in   Rule 501 of Regulation D as: a bank, insurance company, registered investment company, business development company, or small business investment company; an employee benefit plan, within the meaning of the Employee Retirement Income Security Act, if a bank, insurance company, or   registered investment adviser makes the investment decisions, or if   the plan has total assets in excess of $5 million; a charitable organization, corporation, or partnership with assets exceeding $5 million; a director, executive officer, or general partner of the company selling the securities; a business in which all the equity owners are accredited investors; a natural person who has individual net worth, or joint net worth with the person’s spouse, that exceeds $1 million at the time of the   purchase, excluding the value of the primary residence of such person; a natural person with income exceeding $200,000 in each of the two most recent years or joint income with a spouse exceeding $300,000 for   those years and a reasonable expectation of the same income level in   the current year; or a trust with assets in excess of $5 million, not formed to acquire the securities offered, whose purchases a sophisticated person makes. No citizenship/residency requirements.","2005    1927
Name: query-id, dtype: int64",How does a Non US citizen gain SEC Accredited Investor Status?,
108,"Futures contracts are a member of a larger class of financial assets called derivatives. Derivatives are called such because their payoffs depend on the price of other assets (financial or real). Other kinds of derivatives are call options, put options. Fixed income assets that mimic the behavior of derivatives are callable bonds, puttable bonds etc.  A futures contract is a contract that specifies the following: Just like with any other contract, there are two parties involved. One party commits to delivering the underlying asset to the other party on expiration date in exchange for the futures price. The other party commits to paying the futures price in exchange for the asset. There is no price that any of the two parties pay upfront to engage in the contract. The language used is so that the agent committing to receiving the delivery of the underlying asset is said to have bought the contract. The agent that commits to make the delivery is said to have sold the contract.  So answer your question, buying on June 1 a futures contract at the futures price of $100, with a maturity date on August 1 means you commit to paying $100 for the underlying asset on August 1. You don't have to pay anything upfront. Futures price is simply what the contract prescribes the underlying asset will exchange hands for.","""Buying (or selling) a futures contract means that you are entering into a contractual agreement to buy (or sell) the contracted commodity or financial instrument in the contracted amount (the contract size) at the price you have bought (or sold) the contract on the contract expire date (maturity date).  It is important to understand that futures contracts are tradeable instruments, meaning that you are free to sell (or buy back) your contract at any time before the expiry date. For example, if you buy 1 """"lot"""" (1 contract) of a gold future on the Comex exchange for the contract month of December 2016, then you entering into a contract to buy 100 ounces (the contract size) of gold at the price at which you buy the contract - not the spot price on the day of expiry when the contract comes to maturity.  The December 2016 gold futures contract has an expiry date of 28 December.  You are free to trade this contract at any time before its expiry by selling it back to another market participant.  If you sell the contract at a price higher than you have purchased it, then you will realise a profit of 100 times the difference between the price you bought the contract and the price you sold the contract, where 100 is the contract size of the gold contract.  Similarly, if you sell the contract at a price lower than the price you have purchased it, then you will realise a loss. (Commissions paid will also effect your net profit or loss). If you hold your contract until the expiry date and exercise your contract by taking (or making) delivery, then you are obliged to buy (or sell) 100 ounces of gold at the price at which you bought (or sold) the contract - not the current spot price. So long as your contract is """"open"""" (i.e., prior to the expiry date and so long as you own the contract) you are required to make a """"good faith deposit"""" to show that you intend to honour your contractual obligations.  This deposit is usually called """"initial margin"""".  Typically, the initial margin amount will be about 2% of the total contract value for the gold contract.  So if you buy (or sell) one contract for 100 ounces of gold at, say, $1275 an ounce, then the total contract value will be $127,500 and your deposit requirement would be about $2,500.  The initial margin is returned to you when you sell (or buy) back your futures contract, or when you exercise your contract on expiry. In addition to initial margin, you will be required to maintain a second type of margin called """"variation margin"""".  The variation margin is the running profit or loss you are showing on your open contract. For the sake of simplicity, lets look only at the case where you have purchased a futures contract.  If the futures price is higher than your contract (buy) price, then you are showing a profit on your current position and this profit (the variation margin) will be used to offset your initial margin requirement. Conversely, if the futures price has dropped below your contracted (buy) price, then you will be showing a loss on your open position and this loss (the variation margin) will be added to your initial margin and you will be called to put up more money in order to show good faith that you intend to honour your obligations.  Note that neither the initial margin nor the variation margin are accounting items.  In other words, these are not postings that are debited or credited to the ledger in your trading account.  So in some sense """"you don't have to pay anything upfront"""", but you do need to put up a refundable deposit to show good faith.""","13524    10338
Name: query-id, dtype: int64",Buy or sell futures contracts,
132,"Whenever you pay or withdraw some fund from your account, paypal takes approx 3% of the current currency value along with the fees. i.e. If you are paying/withdraw 100 unit of US Dollars to British pounds and if the current convertion rate is 1$=0.82GBP, then consider reducing 3% of the actual currency rate. So, the approximate magnitude will be 0.82*97% (100-3=97) = 0.7954. So, 1$=0.7954GBP. This formula will not give you 100% accurate value but will help of course. Captain","""I cannot speak for Paypal specifically and I doubt anyone who doesn't actually work on their internal automated payment systems could. However, I can speak from experiencing in working on automated forex transaction systems and tell you what many institutions do and it is often NOT based on live rates. There is no law stating an institution must honor a specific market exchange rate. Institutions can determine their own rates how and when they want to. However, there is some useful information on their website: https://www.paypal.com/an/cgi-bin/webscr?cmd=p/sell/mc/mc_convert-outside """"The most readily available information on currency exchange rates is based on interbank exchange rates. Interbank exchange rates are established in the course of currency trading among a global network of over 1,000 banks, and are not available through consumer or retail channels."""" This leads me to believe they pull exchange rates from either Oanda or XE periodically and then use these rates throughout the day to conduct business. Paypal does not disclose who they use to determine rates. And it's highly doubtful they do this for every transaction (using live rates). Even if they did, there would be no way for you to check and be certain of a particular exchange rate as paypal states: """" Consumers may use these rates as a reference, but should not expect to use interbank rates in transactions that involve currency conversion. To obtain actual retail rates, contact your local financial institution or currency exchange, or check the rate displayed in your PayPal transaction."""" This is partly because rates can change by the second just like stock prices or anything else which is susceptible to the open market's variables of supply, demand news events etc. So, even if you check the rates on Oanda (which you can do here: http://www.oanda.com/currency/converter/) you are not going to get a 100% accurate representation of what you would get by doing an exchange immediately afterwards from Paypal or any other financial institution. However, if you want to estimate, using Oanda's currency converter will likely get you close in most scenarios. That is assuming Paypal doesn't charge a premium for the exchange, which they may. That is also assuming they use live rates, it's also possible they only update their rates based on market rates periodically and not for every transaction. You may want to test this by checking the exchange rate on your transaction and comparing that to the Oanda rates at the same time.""","5501    3750
Name: query-id, dtype: int64",How to check the paypal's current exchange rate?,
180,"Chinese suppliers can quote their price in CNY rather than USD (as has been typical), and thus avoid the exchange risk from US dollar volatility- the CNY has been generally appreciating so committing to receive payments in US dollars when their costs are in CNY means they are typically on the losing end of the equation and they have to pad their prices a bit.  Canadian importers will have to buy RMB (typically with CAD) to pay for their orders and Canadian exporters can take payment in RMB if they wish, or set prices in CAD. By avoiding the US dollar middleman the transactions are made less risky and incur less costs. Japan did this many decades ago (they, too, used to price their products in USD).  This is important in transactions of large amounts, not so much for the tiny amounts associated with tourism. Two-way annual trade between China and Canada is in excess of $70bn.  Of course Forex trading may greatly exceed the actual amounts required for trade- the world Forex market is at least an order of magnitude greater than size of real international trade. All that trading in currency and financial instruments means more jobs on Bay Street and more money flowing into a very vital part of the Canadian economy.  Recent article from the (liberal) Toronto Star here.","Chinese suppliers can quote their price in CNY rather than USD (as has been typical), and thus avoid the exchange risk from US dollar volatility- the CNY has been generally appreciating so committing to receive payments in US dollars when their costs are in CNY means they are typically on the losing end of the equation and they have to pad their prices a bit.  Canadian importers will have to buy RMB (typically with CAD) to pay for their orders and Canadian exporters can take payment in RMB if they wish, or set prices in CAD. By avoiding the US dollar middleman the transactions are made less risky and incur less costs. Japan did this many decades ago (they, too, used to price their products in USD).  This is important in transactions of large amounts, not so much for the tiny amounts associated with tourism. Two-way annual trade between China and Canada is in excess of $70bn.  Of course Forex trading may greatly exceed the actual amounts required for trade- the world Forex market is at least an order of magnitude greater than size of real international trade. All that trading in currency and financial instruments means more jobs on Bay Street and more money flowing into a very vital part of the Canadian economy.  Recent article from the (liberal) Toronto Star here.","6865    4456
Name: query-id, dtype: int64",What is the big deal about the chinese remnibi trading hub that opened in toronto,
277,"My super fund and I would say many other funds give you one free switch of strategies per year.  Some suggest you should change from high growth option to a more balance option once you are say about 10 to 15 years from retirement, and then change to a more capital guaranteed option a few years from retirement. This is a more passive approach and has benefits as well as disadvantages. The benefit is that there is not much work involved, you just change your investment option based on your life stage, 2 to 3 times during your lifetime. This allows you to take more risk when you are young to aim for higher returns, take a balanced approach with moderate risk and returns during the middle part of your working life, and take less risk with lower returns (above inflation) during the latter part of your working life. A possible disadvantage of this strategy is you may be in the higher risk/ higher growth option during a market correction and then change to a more balanced option just when the market starts to pick up again. So your funds will be hit with large losses whilst the market is in retreat and just when things look to be getting better you change to a more balanced portfolio and miss out on the big gains. A second more active approach would be to track the market and change investment option as the market changes. One approach which shouldn't take much time is to track the index such as the ASX200 (if you investment option is mainly invested in the Australian stock market) with a 200 day Simple Moving Average (SMA). The concept is that if the index crosses above the 200 day SMA the market is bullish and if it crosses below it is bearish. See the chart below:  This strategy will work well when the market is trending up or down but not very well when the market is going sideways, as you will be changing from aggressive to balanced and back too often. Possibly a more appropriate option would be a combination of the two. Use the first passive approach to change investment option from aggressive to balanced to capital guaranteed with your life stages, however use the second active approach to time the change. For example, if you were say in your late 40s now and were looking to change from aggressive to balanced in the near future, you could wait until the ASX200 crosses below the 200 day SMA before making the change. This way you could capture the majority of the uptrend (which could go on for years) before changing from the high growth/aggressive option to the balanced option. If you where after more control over your superannuation assets another option open to you is to start a SMSF, however I would recommend having at least $300K to $400K in assets before starting a SMSF, or else the annual costs would be too high as a percentage of your total super assets.","I think your best strategy is to learn more about the behavior of what you're investing in.  Learn everything you can about it.  Specialize in it.  The more you study, the more the proper strategy will present itself. Answer the questions you ask in paragraph 3 through your own study.","14138    11067
Name: query-id, dtype: int64",Is it wise to switch investment strategy frequently?,
294,"US government bonds are where money goes when the markets are turbulent and investors are fleeing from risk, and that applies even if the risk is a downgrade of the US credit rating, because there's simply nowhere else to put your money if you're in search of safety. Most AAA-rated governments have good credit ratings because they don't borrow much money (and most of them also have fairly small economies compared with the US), meaning that there's poor liquidity in their scarce bonds.","The only resources or references you need are a chart showing you what happened in those months. The exuberance for US treasuries comes from the fact that there are no better options than them for putting cash. There are better sovereign debt instruments around the world depending on your goals, but they do not offer the same liquidity. US dollars and US Treasuries are equivalents in this context, so no matter if the wealthy speculator removed their cash from the stock market and put it in a bank or directly bought US treasuries (or their futures), this would increase the demand for treasuries. S&P Downgraded US treasures due to political instability in the United States, since inefficiencies in the country's political structure can prevent the Treasury from paying treasury holders (aka a default). Speculators know that this doesn't effect the United States resources and revenue collection schemes, as there is ample wealth public and private available to back the treasury bonds.","6556    4300
Name: query-id, dtype: int64",Upward Spike in US Treasuries despite S&P Downgrade in August 2011,
662,"I can only speak to natural gas but I imagine the answer for electricity is the same. In general, yes, it is better to lock into a fixed price contract as in the long run, natural gas prices increase over time.  However, if you locked (signed a fixed price contract) in prior to the economic downturn, most likely you were better off not doing so but the key is long-term. http://en.wikipedia.org/wiki/Natural_gas_prices However, do your research as fixed priced contracts vary considerably from company to company. http://www.energyshop.com/ I think it's a good time to sign a fixed-term contract right now as I don't see prices coming down much further with global economies are now recovering from the downturn. HTH","I can only speak to natural gas but I imagine the answer for electricity is the same. In general, yes, it is better to lock into a fixed price contract as in the long run, natural gas prices increase over time.  However, if you locked (signed a fixed price contract) in prior to the economic downturn, most likely you were better off not doing so but the key is long-term. http://en.wikipedia.org/wiki/Natural_gas_prices However, do your research as fixed priced contracts vary considerably from company to company. http://www.energyshop.com/ I think it's a good time to sign a fixed-term contract right now as I don't see prices coming down much further with global economies are now recovering from the downturn. HTH","7085    4590
Name: query-id, dtype: int64",Is a fixed-price natural gas or electricity contract likely to save money?,
692,"If she lives by herself, my guess would be that she qualifies as a household of one. Either way, her monthly income is below the threshold, so she should be eligible. Per the linked website The only way to determine if your household is eligible for SNAP benefits is to apply. I'd say it's worth a try.","If she lives by herself, my guess would be that she qualifies as a household of one. Either way, her monthly income is below the threshold, so she should be eligible. Per the linked website The only way to determine if your household is eligible for SNAP benefits is to apply. I'd say it's worth a try.","10082    6711
Name: query-id, dtype: int64",Is my mother eligible for SNAP?,
725,"Preferred stock is traded on the market, so you can just buy it like any other. The symbol for a preferred stock is the ticker symbol followed by a dash and a letter for each class of preferred stock. Examples: Generally speaking, you should buy Preferred stock with the intention of holding onto it for at least a  couple of years. Often preferred shares are lightly traded and have wide spreads that made it difficult to make money in the short term.","Preferred stock is traded on the market, so you can just buy it like any other. The symbol for a preferred stock is the ticker symbol followed by a dash and a letter for each class of preferred stock. Examples: Generally speaking, you should buy Preferred stock with the intention of holding onto it for at least a  couple of years. Often preferred shares are lightly traded and have wide spreads that made it difficult to make money in the short term.","11696    8069
Name: query-id, dtype: int64",Where can I buy preferred stocks as opposed to common stocks?,
751,If some one ever offers High returns and low risk they are either extremely stupid or scamming you. If they did find a high return low risk investment a smart person would buy it then repackage it as a low return low risk investment and then sell it to you. People would still buy and they would make a ton.   Either they are lying (scam) or a fool(about as bad),"""Another essential component of one's life is financial security, which is why you're well advised to stay clear away from Richard Cayne, Meyer Asset Management / Meyer International / Asia Wealth / Expat Wealth.   All of the above, along with the now defunct Royal Siam Trust and Managed Savings (run by his former partner in crime, Greg Pitt) are complete scams. Hundreds of .. """"clients"""" have lost tens of thousands of dollars because of him.""","9181    6082
Name: query-id, dtype: int64",Most common types of financial scams an individual investor should beware of?,
