id,groudTruthContext,retrievedContext,questionId,question,answer
63,"Here are the SEC requirements: The federal securities laws define the term accredited investor in   Rule 501 of Regulation D as: a bank, insurance company, registered investment company, business development company, or small business investment company; an employee benefit plan, within the meaning of the Employee Retirement Income Security Act, if a bank, insurance company, or   registered investment adviser makes the investment decisions, or if   the plan has total assets in excess of $5 million; a charitable organization, corporation, or partnership with assets exceeding $5 million; a director, executive officer, or general partner of the company selling the securities; a business in which all the equity owners are accredited investors; a natural person who has individual net worth, or joint net worth with the person’s spouse, that exceeds $1 million at the time of the   purchase, excluding the value of the primary residence of such person; a natural person with income exceeding $200,000 in each of the two most recent years or joint income with a spouse exceeding $300,000 for   those years and a reasonable expectation of the same income level in   the current year; or a trust with assets in excess of $5 million, not formed to acquire the securities offered, whose purchases a sophisticated person makes. No citizenship/residency requirements.","""The (U.S) """"accredited investor"""" laws apply to investments in the U.S. Foreign countries may or may not have their own laws regarding investment in startups, and if so, the foreign laws apply. One way around the net worth minimum is to be a member of the management team. """"Active"""" (management) investors don't need to be accredited because they can see what's going on on a day to day basis. The accredited investor laws apply to the target companies, not to the investors. Basically, a start-up company can't take """"other people's money"""" from a non-accredited investor. But you can invest """"your own"""" money in it if you are a manager.""","2005    1927
Name: query-id, dtype: int64",How does a Non US citizen gain SEC Accredited Investor Status?,A non-US citizen gains SEC Accredited Investor Status by being a member of the management team of a start-up investment. Active investors can access information directly and avoid the need for external accreditations due to managed access within their role.
108,"Futures contracts are a member of a larger class of financial assets called derivatives. Derivatives are called such because their payoffs depend on the price of other assets (financial or real). Other kinds of derivatives are call options, put options. Fixed income assets that mimic the behavior of derivatives are callable bonds, puttable bonds etc.  A futures contract is a contract that specifies the following: Just like with any other contract, there are two parties involved. One party commits to delivering the underlying asset to the other party on expiration date in exchange for the futures price. The other party commits to paying the futures price in exchange for the asset. There is no price that any of the two parties pay upfront to engage in the contract. The language used is so that the agent committing to receiving the delivery of the underlying asset is said to have bought the contract. The agent that commits to make the delivery is said to have sold the contract.  So answer your question, buying on June 1 a futures contract at the futures price of $100, with a maturity date on August 1 means you commit to paying $100 for the underlying asset on August 1. You don't have to pay anything upfront. Futures price is simply what the contract prescribes the underlying asset will exchange hands for.","I have been trading Forex and Futures as an independant Trader for almost 3 Years now, and unfortunately i have to agree with pizzlepaps statement that if you have to ask you probably should not be doing it at all.  There is a bunch of information out there on futures trading but then again im wondering which futures exactly you want to trade? Are we talking about ES contracts? Dax Contracts? Dow Contracts? Crude Contracts?  I mean im going to be honest here i really would like to be of help here but quite frankly i dont know how based on your question, so for now stay away from the futures market until you have done some heavy reading and defined your goals.","13524    10338
Name: query-id, dtype: int64",Buy or sell futures contracts,"No, I don’t have information on which contracts are suitable for trading based solely on the given context. More details would be needed."
132,"Whenever you pay or withdraw some fund from your account, paypal takes approx 3% of the current currency value along with the fees. i.e. If you are paying/withdraw 100 unit of US Dollars to British pounds and if the current convertion rate is 1$=0.82GBP, then consider reducing 3% of the actual currency rate. So, the approximate magnitude will be 0.82*97% (100-3=97) = 0.7954. So, 1$=0.7954GBP. This formula will not give you 100% accurate value but will help of course. Captain","This is really a question for the paypal folks. as I understand it however, when you setup a paypal account, you are granting it access to your back account, so when you make a payment using paypal, it takes money directly from your bank account, and if you get paid for something via paypal, the money goes directly into your account. If that's not how they paypal account you have is working, then you need to get help from paypal to figure out how to make it work for you.","5501    3750
Name: query-id, dtype: int64",How to check the paypal's current exchange rate?,Pal2 Exchange Rate Calculator
180,"Chinese suppliers can quote their price in CNY rather than USD (as has been typical), and thus avoid the exchange risk from US dollar volatility- the CNY has been generally appreciating so committing to receive payments in US dollars when their costs are in CNY means they are typically on the losing end of the equation and they have to pad their prices a bit.  Canadian importers will have to buy RMB (typically with CAD) to pay for their orders and Canadian exporters can take payment in RMB if they wish, or set prices in CAD. By avoiding the US dollar middleman the transactions are made less risky and incur less costs. Japan did this many decades ago (they, too, used to price their products in USD).  This is important in transactions of large amounts, not so much for the tiny amounts associated with tourism. Two-way annual trade between China and Canada is in excess of $70bn.  Of course Forex trading may greatly exceed the actual amounts required for trade- the world Forex market is at least an order of magnitude greater than size of real international trade. All that trading in currency and financial instruments means more jobs on Bay Street and more money flowing into a very vital part of the Canadian economy.  Recent article from the (liberal) Toronto Star here.","Chinese currency is not freely convertible. Its exchange rate is not determined by the market but rather by the Chinese government. Thus the counter-intuitive result. In essence, the Chinese government is subsidizing exports (which is reasonable since exports is what drives the Chinese economy).","6865    4456
Name: query-id, dtype: int64",What is the big deal about the chinese remnibi trading hub that opened in toronto,The big deal lies in the role of government-controlled exchange rates in Chinese remittance trading and its implications for China's economy and international trade policies.
277,"My super fund and I would say many other funds give you one free switch of strategies per year.  Some suggest you should change from high growth option to a more balance option once you are say about 10 to 15 years from retirement, and then change to a more capital guaranteed option a few years from retirement. This is a more passive approach and has benefits as well as disadvantages. The benefit is that there is not much work involved, you just change your investment option based on your life stage, 2 to 3 times during your lifetime. This allows you to take more risk when you are young to aim for higher returns, take a balanced approach with moderate risk and returns during the middle part of your working life, and take less risk with lower returns (above inflation) during the latter part of your working life. A possible disadvantage of this strategy is you may be in the higher risk/ higher growth option during a market correction and then change to a more balanced option just when the market starts to pick up again. So your funds will be hit with large losses whilst the market is in retreat and just when things look to be getting better you change to a more balanced portfolio and miss out on the big gains. A second more active approach would be to track the market and change investment option as the market changes. One approach which shouldn't take much time is to track the index such as the ASX200 (if you investment option is mainly invested in the Australian stock market) with a 200 day Simple Moving Average (SMA). The concept is that if the index crosses above the 200 day SMA the market is bullish and if it crosses below it is bearish. See the chart below:  This strategy will work well when the market is trending up or down but not very well when the market is going sideways, as you will be changing from aggressive to balanced and back too often. Possibly a more appropriate option would be a combination of the two. Use the first passive approach to change investment option from aggressive to balanced to capital guaranteed with your life stages, however use the second active approach to time the change. For example, if you were say in your late 40s now and were looking to change from aggressive to balanced in the near future, you could wait until the ASX200 crosses below the 200 day SMA before making the change. This way you could capture the majority of the uptrend (which could go on for years) before changing from the high growth/aggressive option to the balanced option. If you where after more control over your superannuation assets another option open to you is to start a SMSF, however I would recommend having at least $300K to $400K in assets before starting a SMSF, or else the annual costs would be too high as a percentage of your total super assets.","Both are correct depending on what you are really trying to evaluate. If you only want to understand how that particular investment you were taking money in and out of did by itself than you would ignore the cash.  You might use this if you were thinking of replacing that particular investment with another but keeping the in/out strategy. If you want to understand how the whole investment strategy worked (both the in/out motion and the choice of investment) than you would definitely want to include the cash component as that is necessary for the strategy and would be your final return if you implemented that strategy. As a side note, neither IRR or CAGR are not great ways to judge investment strategies as they have some odd timing issues and they don't take into account risk.","14138    11067
Name: query-id, dtype: int64",Is it wise to switch investment strategy frequently?,"Switching investment strategies frequently can be wise when evaluating comprehensive strategies that include cash flow components for a holistic view. However, in scenarios where the analysis focuses solely on one investment without considering cash flows, this might leave crucial aspects incomplete or misleading. Therefore, frequent switching is advisable when including both income and capital gains/losses but caution may be needed if cash-only approaches are taken."
294,"US government bonds are where money goes when the markets are turbulent and investors are fleeing from risk, and that applies even if the risk is a downgrade of the US credit rating, because there's simply nowhere else to put your money if you're in search of safety. Most AAA-rated governments have good credit ratings because they don't borrow much money (and most of them also have fairly small economies compared with the US), meaning that there's poor liquidity in their scarce bonds.","""isn't there at least one rung below BB?  What does it mean to remove them while """"threatening"""" to downgrade them in future?  Seems more severe than immediate downgrade.  Does removal imply perhaps that they have no idea what a fair rating should be?""","6556    4300
Name: query-id, dtype: int64",Upward Spike in US Treasuries despite S&P Downgrade in August 2011,Is there any indication of a lack of understanding about fair credit ratings in this context?
662,"I can only speak to natural gas but I imagine the answer for electricity is the same. In general, yes, it is better to lock into a fixed price contract as in the long run, natural gas prices increase over time.  However, if you locked (signed a fixed price contract) in prior to the economic downturn, most likely you were better off not doing so but the key is long-term. http://en.wikipedia.org/wiki/Natural_gas_prices However, do your research as fixed priced contracts vary considerably from company to company. http://www.energyshop.com/ I think it's a good time to sign a fixed-term contract right now as I don't see prices coming down much further with global economies are now recovering from the downturn. HTH","I can only speak to natural gas but I imagine the answer for electricity is the same. In general, yes, it is better to lock into a fixed price contract as in the long run, natural gas prices increase over time.  However, if you locked (signed a fixed price contract) in prior to the economic downturn, most likely you were better off not doing so but the key is long-term. http://en.wikipedia.org/wiki/Natural_gas_prices However, do your research as fixed priced contracts vary considerably from company to company. http://www.energyshop.com/ I think it's a good time to sign a fixed-term contract right now as I don't see prices coming down much further with global economies are now recovering from the downturn. HTH","7085    4590
Name: query-id, dtype: int64",Is a fixed-price natural gas or electricity contract likely to save money?,"Yes, a fixed-price contract for natural gas is likely to be beneficial since it can protect against rising prices in the long run."
692,"If she lives by herself, my guess would be that she qualifies as a household of one. Either way, her monthly income is below the threshold, so she should be eligible. Per the linked website The only way to determine if your household is eligible for SNAP benefits is to apply. I'd say it's worth a try.",Minor blip for Snap but their investors should take note that SNS services different than devices. Snap might find a niche device to supplement their media model but careful before betting to much on it. Snap probably lose a few million $ but will hopefully prevent a larger debacle later.,"10082    6711
Name: query-id, dtype: int64",Is my mother eligible for SNAP?,"I don't have specific information about whether your mother is eligible for SNAP based on the provided context. However, it suggests potential eligibility considering her minor status and a possible niche device use scenario.

Answer: I don't have specific information but can suggest she may be eligible if services align with her household's media needs."
725,"Preferred stock is traded on the market, so you can just buy it like any other. The symbol for a preferred stock is the ticker symbol followed by a dash and a letter for each class of preferred stock. Examples: Generally speaking, you should buy Preferred stock with the intention of holding onto it for at least a  couple of years. Often preferred shares are lightly traded and have wide spreads that made it difficult to make money in the short term.","Preferred stocks are, err... Preferred. The whole point of preferred stocks is that they have some preference over other classes of stocks (there may be more than 2, by the way). It can be more voting rights, more dividends or priority on dividends' distribution (common with VC investments), or priority on liquidations (in bankruptcy, preferred stock holders are ranked higher than common). Many times initial or critical investments are made on preferred terms, and the stocks are converted to common when certain thresholds are met. Obviously all these benefits require a premium on the price.","11696    8069
Name: query-id, dtype: int64",Where can I buy preferred stocks as opposed to common stocks?,"Preferred stocks can be purchased on stock exchanges such as the New York Stock Exchange (NYSE), NASDAQ, or American Express Seconds Exchange (AMEX). These services are typically offered by financial institutions or brokerage companies."
751,If some one ever offers High returns and low risk they are either extremely stupid or scamming you. If they did find a high return low risk investment a smart person would buy it then repackage it as a low return low risk investment and then sell it to you. People would still buy and they would make a ton.   Either they are lying (scam) or a fool(about as bad),"Online payment service providers should allow you to agree to payments from customers and secure your company against scams. To fight against innovative scammers, you need to take additional safety measures in defending your business. Improving your payment security should be a concern to website associated with scams","9181    6082
Name: query-id, dtype: int64",Most common types of financial scams an individual investor should beware of?,"The most common types of financial scams that an individual investor should be aware of include:

1. **Fraudulent Credit Card Scams**: Using fake credit card information to make purchases without providing any personal identification.

2. **Phishing Emails or Phony Letters**: Scammers sending emails claiming to be from a trusted company but hiding real transaction details, such as passwords or payment info.

3. **Exploiting Online Financial Services**: Using the financial world for fraudulent purposes, such as making purchases through scams on platforms like PayPal or Stripe without paying any fees."
